original_name,Specification,Unit,price,+/-,pricing,currency,mass_unit,specific_price,commodity_info,Unnamed: 0,material_name,molecular_formula,molecular_formula_norm,index_use,index
Sodium Molybdate,99% min EXW China,USD / mt,12485.0,,08.07.19,USD,metric_ton,12.485,Molybdate,46,Sodium Molybdate,NaMo2O4,Mo2NaO4,molecular_formula,NaMo2O4
Molybdenum Powder,99.95% min EXW China,USD / kg,37.7,,08.07.19,USD,kg,37.7,Powder,47,Molybdenum,Mo,Mo,molecular_formula,Mo
Molybdenum bar,99.9% min EXW China,USD / kg,40.45,,08.07.19,USD,kg,40.45,bar,48,Molybdenum,Mo,Mo,molecular_formula,Mo
Molybdenum Rod,?0.40mm EXW China,USD / kg,52.75,,08.07.19,USD,kg,52.75,Rod,49,Molybdenum,Mo,Mo,molecular_formula,Mo
Niobium Conc.,"Nb2O5 50% min, Ta2O5 5% min, CIF China",USD / lb,9.35,,08.07.19,USD,lb,20.613221514286053,Conc.,50,Niobium Pentoxide,Nb2O5,Nb2O5,molecular_formula,Nb2O5
Niobium pentoxides,99.5% min EXW China,USD / kg,33.45,,08.07.19,USD,kg,33.45,pentoxides,51,Niobium Pentoxide,Nb2O5,Nb2O5,molecular_formula,Nb2O5
Niobium pentoxides,99.5% min FOB China,USD / kg,33.5,,08.07.19,USD,kg,33.5,pentoxides,51,Niobium Pentoxide,Nb2O5,Nb2O5,molecular_formula,Nb2O5
Niobium pentoxides,99.99% min EXW China,USD / kg,45.0,,08.07.19,USD,kg,45.0,pentoxides,51,Niobium Pentoxide,Nb2O5,Nb2O5,molecular_formula,Nb2O5
Niobium pentoxides,99.99% min FOB China,USD / kg,44.8,,08.07.19,USD,kg,44.8,pentoxides,51,Niobium Pentoxide,Nb2O5,Nb2O5,molecular_formula,Nb2O5
Rhenium APR,99.99% min EXW China,USD / kg,1502.5,,08.07.19,USD,kg,1502.5,APR,52,Rhenium,Re,Re,molecular_formula,Re
Selenium Powder,99.5% min in the warehouse Rotterdam,USD / lb,8.45,,08.07.19,USD,lb,18.629061154622153,Powder,53,Selenium,Se,Se,molecular_formula,Se
Selenium Powder,99.9% min delivered in China,USD / kg,20.700000000000003,,08.07.19,USD,kg,20.700000000000003,Powder,53,Selenium,Se,Se,molecular_formula,Se
Selenium Powder,99.9% min CIF China,USD / lb,8.8,,08.07.19,USD,lb,19.400679072269227,Powder,53,Selenium,Se,Se,molecular_formula,Se
Selenium Powder,99.9% min FOB Russia,USD / kg,24.0,,08.07.19,USD,kg,24.0,Powder,53,Selenium,Se,Se,molecular_formula,Se
Selenium Powder,99.9% min delivered in US,USD / lb,8.45,,08.07.19,USD,lb,18.629061154622153,Powder,53,Selenium,Se,Se,molecular_formula,Se
Selenium dioxides,98% min delivered in China,USD / kg,12.7,,08.07.19,USD,kg,12.7,dioxides,54,Selenium Dioxide,SeO2,O2Se,molecular_formula,SeO2
Silicon metal,5-5-3 delivered in China,USD / mt,1495.5,ï¿½0.96,08.07.19,USD,metric_ton,1.4955,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,5-5-3 FOB China,USD / mt,1540.0,,08.07.19,USD,metric_ton,1.54,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
Silicon metal,5-5-3 Ex-VAT FOB China,USD / mt,1420.0,,08.07.19,USD,metric_ton,1.42,metal,55,Metallurgical Silicon,,,material_name,Metallurgical Silicon
