,Commodity,price_info,full_name,price,price_units,Year,price_desc
101,Clays,Common,Clays Common,16,dt,2018,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
102,Clays,Common,Clays Common,17,dt,2019,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
103,Clays,Common,Clays Common,16,dt,2020,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
104,Clays,Common,Clays Common,16,dt,2021,"Price, ex-works, average unit value, dollars per ton: Common clay. Data are estimated for the most recent year."
105,Clays,Fire,Clays Fire,13,dt,2017,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
106,Clays,Fire,Clays Fire,12,dt,2018,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
107,Clays,Fire,Clays Fire,14,dt,2019,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
108,Clays,Fire,Clays Fire,13,dt,2020,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
109,Clays,Fire,Clays Fire,13,dt,2021,"Price, ex-works, average unit value, dollars per ton: Fire clay. Data are estimated for the most recent year."
110,Clays,Fullers,Clays Fullers,93,dt,2017,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
111,Clays,Fullers,Clays Fullers,88,dt,2018,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
112,Clays,Fullers,Clays Fullers,88,dt,2019,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
113,Clays,Fullers,Clays Fullers,89,dt,2020,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
114,Clays,Fullers,Clays Fullers,88,dt,2021,"Price, ex-works, average unit value, dollars per ton: Fuller’s earth. Does not include U.S. production of attapulgite. Data are estimated for the most recent year."
115,Clays,Kaolin,Clays Kaolin,158,dt,2017,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
116,Clays,Kaolin,Clays Kaolin,160,dt,2018,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
117,Clays,Kaolin,Clays Kaolin,162,dt,2019,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
118,Clays,Kaolin,Clays Kaolin,160,dt,2020,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
119,Clays,Kaolin,Clays Kaolin,160,dt,2021,"Price, ex-works, average unit value, dollars per ton: Kaolin. Data are estimated for the most recent year."
120,Cobalt,Spot,Cobalt Spot,26.97,dlb,2017,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
121,Cobalt,Spot,Cobalt Spot,37.43,dlb,2018,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
122,Cobalt,Spot,Cobalt Spot,16.95,dlb,2019,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
123,Cobalt,Spot,Cobalt Spot,15.7,dlb,2020,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
124,Cobalt,Spot,Cobalt Spot,23.0,dlb,2021,"Price, average, dollars per pound: U.S. spot, cathode. Source: Platts Metals Week. Cobalt cathode is refined cobalt metal produced by an electrolytic process. Data are estimated for the most recent year."
125,Cobalt,LME,Cobalt LME,25.28,dlb,2017,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
126,Cobalt,LME,Cobalt LME,32.94,dlb,2018,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
127,Cobalt,LME,Cobalt LME,14.88,dlb,2019,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
128,Cobalt,LME,Cobalt LME,14.21,dlb,2020,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
129,Cobalt,LME,Cobalt LME,22.0,dlb,2021,"Price, average, dollars per pound: London Metal Exchange (LME), cash. Data are estimated for the most recent year."
130,Copper,US,Copper US,285.4,ctslb,2017,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
131,Copper,US,Copper US,298.7,ctslb,2018,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
132,Copper,US,Copper US,279.6,ctslb,2019,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
133,Copper,US,Copper US,286.7,ctslb,2020,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
134,Copper,US,Copper US,430.0,ctslb,2021,"Price, annual average, cents per pound: U.S. producer, cathode (COMEX + premium). Data are estimated for the most recent year."
135,Copper,COMEX,Copper COMEX,280.4,ctslb,2017,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
136,Copper,COMEX,Copper COMEX,292.6,ctslb,2018,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
137,Copper,COMEX,Copper COMEX,272.3,ctslb,2019,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
138,Copper,COMEX,Copper COMEX,279.9,ctslb,2020,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
139,Copper,COMEX,Copper COMEX,420.0,ctslb,2021,"Price, annual average, cents per pound: COMEX, high-grade, first position. Data are estimated for the most recent year."
140,Copper,LME,Copper LME,279.5,ctslb,2017,"Price, annual average, cents per pound: London Metal Exchange, grade A, cash. Data are estimated for the most recent year."
