index,specific_price,keep,title,link,search_text
LiOH,65.0,y,"LITHIUM HYDROXIDE MONOHYDRATE, 50kg bag",https://www.indiamart.com/proddetail/lithium-hydroxide-monohydrate-21972175573.html?pos=4&kwd=lioh lithium hydroxide&tags=A||||7533.29|Price|proxy,lioh lithium hydroxide
Metallurgical Silicon,1.625,y,Lumps Silicon Metal,https://www.indiamart.com/proddetail/silicon-metal-13468561112.html?pos=7&kwd=silicon metal&tags=A||||8186.624|Price|product,silicon metal
Metallurgical Silicon,4.225,y,"Silicon Metal, Material Grade: Standard",https://www.indiamart.com/proddetail/silicon-metal-3632518948.html?pos=4&kwd=silicon metal&tags=A||||7533.29|Price|product,silicon metal
Metallurgical Silicon,4.55,y,Silicon Metal,https://www.indiamart.com/proddetail/silicon-metal-21970066955.html?pos=5&kwd=silicon metal&tags=A||||8186.624|Price|product,silicon metal
Metallurgical Silicon,3.51,y,553 Grade Silicon Metal,https://www.indiamart.com/proddetail/553-grade-silicon-metal-7036503197.html?pos=6&kwd=silicon metal&tags=A||||9120.144|Price|proxy,silicon metal
Mg,2.145,y,"Magnesium Metal, Packaging Type: Pallets, Packaging Size: 1.25 Mt",https://www.indiamart.com/proddetail/magnesium-metal-3697845848.html?pos=4&kwd=magnesium metal&tags=A||||7533.29|Price|product,magnesium metal
Mg,4.55,y,Magnesium Ingots,https://www.indiamart.com/proddetail/magnesium-ingots-26264486033.html?pos=7&kwd=magnesium metal&tags=A||||7533.29|Price|proxy,magnesium metal
Mg(NO3)2,0.715,y,Magnesium Nitrate Powder,https://www.indiamart.com/proddetail/magnesium-nitrate-powder-25464665062.html?pos=7&kwd=mg no3 2 magnesium nitrate&tags=A||||7613.566|Price|proxy,Mg(NO3)2 magnesium nitrate
Mg(NO3)2,0.52,y,Magnesium Nitrate,https://www.indiamart.com/proddetail/magnesium-nitrate-24660059633.html?pos=5&kwd=mg no3 2 magnesium nitrate&tags=A||||8199.945|Price|proxy,Mg(NO3)2 magnesium nitrate
Mg(NO3)2,0.45499999999999996,y,"Magnesium Nitrate, 25 kg bag",https://www.indiamart.com/proddetail/magnesium-nitrate-26276366173.html?pos=4&kwd=mg no3 2 magnesium nitrate&tags=A||||7650.5557|Price|product,Mg(NO3)2 magnesium nitrate
