,,sub_type,mat_type,C_kwh,specific_energy,specific_price,materials,mat_basis,SM_sources,price_sources,Cp,P_cavern,Qmax,T_max,T_melt,T_min,T_turning,VtoR,deltaG_chem,deltaH_thermochem,deltaT,deltaV,deltaV_cap,delta_height,dielectric_breakdown,dielectric_constant,mass_density,mu_total,n_e,notes,original_name,phase_change_T,sp_latent_heat,specific_capacitance,specific_strength,vol_latent_heat
unit_row,,N/U,N/U,USD / kilowatt_hour,kilowatt_hour / kilogram,USD / kilogram,N/U,N/U,N/U,N/U,kilowatt_hour / kelvin / kilogram,pascal,N/U,degree_Celsius,degree_Celsius,degree_Celsius,degree_Celsius,dimensionless,kilowatt_hour / mole,kilowatt_hour / kilogram,delta_degree_Celsius,volt,volt,meter,volt / meter,dimensionless,kilogram / meter ** 3,gram / mole,dimensionless,N/U,N/U,degree_Celsius,kilowatt_hour / kilogram,farad / gram,centimeter ** 3 * megapascal / gram,megajoule / meter ** 3
Ba/Zn,coupled_battery,liquid_metal_battery,,,,,"[('Ba', 0.6666666666666666), ('Zn', 0.33333333333333337)]",molar,,,,,,,,20.0,,,,,,,,,,,,,2.0,,Ba/Zn,,,,,
BaCO3/BaO,thermochemical,,carbonates,2.5446349248923705,0.2323888888888889,0.5913448828235992,BaCO3,,Andre 2016,"Alibaba, Echemi, Indiamart",,,,,,20.0,1555.0,,,0.2323888888888889,,,,,,,,197.335,,,BaCO3/BaO,,,,,
BaO2/BaO,thermochemical,,oxides,17.710426679976088,0.1201666666666666,2.1282029393771253,BaO,,Andre 2016,Alibaba,,,,,,20.0,880.0,,,0.1201666666666666,,,,,,,,153.326,,,BaO2/BaO,,,,,
Basalt,sensible_thermal,both,rock,0.052361206833437,0.43283333333329804,0.0226636756910708,Stone,,"Alva 2018, Liang 2022, Steinmann 2022","Steinmann 2022, USGS",0.0004083333333333,,,800.0,-260.0,-260.0,,,,,1060.0,,,,,,2735.0,162.0430768,,,"Basalt, Basalt (U)",,,,,
Be(OH)2/BeO,thermochemical,,hydroxides,,,,BeO,,,,,,,,,20.0,70.0,,,0.3308333333333333,,,,,,,,,,,Be(OH)2/BeO,,,,,
C6/LCO,coupled_battery,solid_electrode,Li ion,37.85630995406402,0.662396681289991,25.075894079457257,"[('Graphite', 1), ('LCO', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : ISE, Li 2017",,,,,,20.0,,,,,,4.2,,,,,,169.937194,1.0,,,,,,,
C6/LFP,coupled_battery,solid_electrode,Li ion,28.790872259379032,0.4256581023973999,12.25506805229322,"[('Graphite', 1), ('LFP', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,3.65,,,,,,229.820762,1.0,,,,,,,
C6/LMNO,coupled_battery,solid_electrode,Li ion,57.767293486846036,0.4944599704152241,28.563614228473458,"[('Graphite', 1), ('LMNO', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Alibaba, Li 2017",,,,,,20.0,,,,,,4.7,,,,,,254.7557645,1.0,,,,,,,
C6/LMO,coupled_battery,solid_electrode,Li ion,21.26401705098576,0.4451387429962332,9.46543782112627,"[('Graphite', 1), ('LMO', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Alibaba, ISE, Li 2017",,,,,,20.0,,,,,,4.2,,,,,,252.878086,1.0,,,,,,,
C6/LMP,coupled_battery,solid_electrode,Li ion,19.573327090216242,0.4683228062875263,9.166635471273732,"[('Graphite', 1), ('LMP', 1)]",molar,Li 2017,"0 : Alibaba, DERA, Indiamart, Li 2017, Liu 2016, Schnell 2020, Steinmann 2022, USGS, 1 : Li 2017",,,,,,20.0,,,,,,4.0,,,,,,228.913805,1.0,,,,,,,
