,specific_price,molecular_formula,mass_density,source,original_name,notes,material_name,index_use,molecular_formula_norm,specific_strength
unit_row,USD / kilogram,N/U,kilogram / meter ** 3,N/U,N/U,N/U,N/U,N/U,N/U,centimeter ** 3 * megapascal / gram
CFRP,31.38000000000001,,,Kale 2018,"AS4-3501–6, AS4–8552, IM7-8551–7, IM7–8552, T300-BSL914C, T300-PR319",,,,,1080.8619647171968
GRE,24.815,,,Kale 2018,"E-Glass Epoxy, S-2 Glass Epoxy",,,,,571.1028459917998
KFRP,27.1,,,Kale 2018,Kevlar-49 Epoxy,,,,,597.1820809248555
Steel,1.7566666666666668,Fe,,Kale 2018,"Carbon-Steel-1020, Stainless-Steel-15-7, Stainless-Steel-440C, Stainless-Steel-455, Steel-18Ni-300, Steel-4340",,,,,109.40030340257692
Li,61.95965417867435,Li,,Kim 2013,Li,,,,,
Na,2.479363725045613,Na,,Kim 2013,Na,,,,,
K,130.44045393277966,K,,Kim 2013,K,,,,,
Mg,2.8389220325036004,Mg,,Kim 2013,Mg,,,,,
Ca,3.493188282848445,Ca,,Kim 2013,Ca,,,,,
Ba,5.971149154936756,Ba,,Kim 2013,Ba,,,,,
Zn,2.294279596206791,Zn,,Kim 2013,Zn,,,,,
Cd,3.469318768124966,Cd,,Kim 2013,Cd,,,,,
Hg,1.3460157932519743,Hg,,Kim 2013,Hg,,,,,
Al,2.4461170086580384,Al,,Kim 2013,Al,,,,,
Ga,731.4659438062046,Ga,,Kim 2013,Ga,,,,,
In,644.4982494034036,In,,Kim 2013,In,,,,,
Tl,5871.415989822879,Tl,,Kim 2013,Tl,,,,,
Sn,26.95644848791172,Sn,,Kim 2013,Sn,,,,,
Pb,2.509652509652509,Pb,,Kim 2013,Pb,,,,,
Sb,14.783180026281208,Sb,,Kim 2013,Sb,,,,,
Bi,23.447174950378123,Bi,,Kim 2013,Bi,,,,,
Te,344.82758620689657,Te,,Kim 2013,Te,,,,,
Sand,0.72,SiO2,,Liu 2016,Sand,,,,,
Na2CO3,0.23,Na2CO3,,Liu 2016,Na2CO3,,,,,
K2CO3,1.1,K2CO3,,Liu 2016,K2CO3,,,,,
Li2CO3,7.0,Li2CO3,,Liu 2016,Li2CO3,,,,,
Solar Salt,0.49,,,Liu 2016,Solar Salt,,,,,
H3N,0.7,H3N,,Liu 2016,Anhydrous,,,,,
Vermiculite,0.33,AlFeH3MgO6Si,,Liu 2016,Vermiculite,,,,,
H3N,1.11,H3N,,Liu 2016,Silica Gel,,,,,
Zeolite,1.93,Al2O5Si,,Liu 2016,Zeolite,,,,,
C,2.75,C,,Liu 2016,Activated Carbon,,,,,
Graphite,2.15,C6,,Liu 2016,Expanded Natural,,,,,
Al2O3,1.32,Al2O3,,Liu 2016,Activated Alumina,,,,,
ClK,0.35,ClK,,Liu 2016,KCl,,,,,
Cl2Mg,0.2,Cl2Mg,,Liu 2016,MgCl2,,,,,
ClNa,0.12,ClNa,,Liu 2016,NaCl,,,,,
ClLi,7.8,ClLi,,Liu 2016,LiCl,,,,,
C,30.0,C,,Li 2017,Active carbon,,,,,
AQDS,4.8,C14H8O8S2,,Li 2017,AQDS,,,,,
CaCl2,0.11,CaCl2,,Li 2017,CaCl2,,,,,
Cd(OH)2,3.43,Cd(OH)2,,Li 2017,Cd(OH)2,,,,,
CrCl3,3.432542032926608,CrCl3,,Li 2017,CrCl3 6H2O,,,,,
CuCl,4.55,CuCl,,Li 2017,CuCl,,,,,
FeCl2,2.53,FeCl2,,Li 2017,FeCl2,,,,,
Water,0.001,H2O,,Li 2017,DI H2O,,,,,
Graphite,12.0,C6,,Li 2017,Graphite,,,,,
H2SO4,0.2,H2SO4,,Li 2017,H2SO4,,,,,
HBr,3.33,HBr,,Li 2017,HBr,,,,,
HCl,0.65,HCl,,Li 2017,HCl,,,,,
KOH,0.82,KOH,,Li 2017,KOH,,,,,
LaNi5,10.05,LaNi5,,Li 2017,LaNi5,,,,,
LCO,40.0,LiCoO2,,Li 2017,LCO,,,,,
LFP,10.0,LiFePO4,,Li 2017,LFP,,,,,
Li2S,1.87,Li2S,,Li 2017,Li2S,,,,,
Li2SO4,0.85,Li2SO4,,Li 2017,Li2SO4,,,,,
LiOH,2.663475174343342,LiOH,,Li 2017,LiOH H2O,,,,,
Li,50.05,Li,,Li 2017,Lithium metal,,,,,
LMO,10.0,LiMn2O4,,Li 2017,LMO,,,,,
LMP,10.0,LiMnPO4,,Li 2017,LMP,,,,,
LMNO,20.0,LiMn1.5Ni0.5O4,,Li 2017,LNMO,,,,,
LTO,12.0,Li4Ti5O12,,Li 2017,LTO,,,,,
Mg,2.43,Mg,,Li 2017,Mg,,,,,
MnO2,1.52,MnO2,,Li 2017,MnO2,,,,,
MoS2,30.02,MoS2,,Li 2017,MoS2,,,,,
Na,3.0,Na,,Li 2017,Na,,,,,
Na2S,0.72,Na2S,,Li 2017,Na2S,,,,,
Na2SO4,0.07,Na2SO4,,Li 2017,Na2SO4,,,,,
Na2Zn(OH)4,0.68,Na2Zn(OH)4,,Li 2017,Na2Zn(OH)4,,,,,
NaBr,1.51,NaBr,,Li 2017,NaBr,,,,,
NaCl,0.04,NaCl,,Li 2017,NaCl,,,,,
NaOH,0.34,NaOH,,Li 2017,NaOH,,,,,
