index,source,material_names,energy_types,num_source,specific_price_refs,specific_price_element,specific_price,price_type
KNO3,Alva 2018 (Latent),,latent_thermal,1,7.0,5.0618598,7.0,Ref(s)
KOH,"Alva 2018 (Latent), Li 2017",,latent_thermal,2,2.91,9.0237129,2.91,Ref(s)
La2O3,USGS,,,1,2.0,4.1582001,2.0,Ref(s)
LaNi5,Li 2017,,,1,10.05,10.9925658,10.05,Ref(s)
Li,"ISE, Li 2017, Kim 2013",Lithium,,3,70.7274681,83.5,70.7274681,Ref(s)
Li2CO3,Liu 2016,Lithium Carbonate,,1,7.0,15.8055013,7.0,Ref(s)
Li2MnO4,ISE,,,1,6.9685,9.553377,6.9685,Ref(s)
Li2O4S,Alva 2018 (Latent),,latent_thermal,1,180.0,10.6589665,180.0,Ref(s)
Li2S,Li 2017,,,1,1.87,25.2927461,1.87,Ref(s)
Li2SO4,Li 2017,,,1,0.85,10.6589665,0.85,Ref(s)
Li4Ti5O12,Li 2017,,,1,12.0,11.0567047,12.0,Ref(s)
LiCoO2,Li 2017,,,1,40.0,25.7218325,40.0,Ref(s)
LiFePO4,Li 2017,,,1,10.0,4.414086,10.0,Ref(s)
LiMn1.5Ni0.5O4,Li 2017,,,1,20.0,6.2797463,20.0,Ref(s)
LiMn2O4,Li 2017,,,1,10.0,4.3654154,10.0,Ref(s)
LiMnPO4,Li 2017,,,1,10.0,4.9261259,10.0,Ref(s)
LiNi0.33Co0.33Mn0.33O2,Li 2017,,,1,20.0,15.8997095,20.0,Ref(s)
LiNi0.6Co0.2Mn0.2O2,Li 2017,,,1,25.0,15.2743837,25.0,Ref(s)
LiNi0.8Co0.15Al0.05O2,Li 2017,,,1,34.0,15.9182576,34.0,Ref(s)
LiO,Andre 2016,,thermochemical,1,,25.3696258,25.3696258,Element
LiOH(H2O),Li 2017,,,1,1.52,14.0274785,1.52,Ref(s)
Lithium Cobaltate,ISE,,,1,28.95,,28.95,Ref(s)
Metallurgical Silicon,"USGS, ISE, Ray 2021, Alok 2021","Metallurgical Silicon, Metallurgical Silicon","sensible_thermal, latent_thermal",4,1.9104838,,1.9104838,Ref(s)
Mg,"USGS, ISE, Alva 2018 (Latent), Li 2017, Kim 2013, Alok 2021",,"latent_thermal, latent_thermal",6,47.6282911,2.32,47.6282911,Ref(s)
Mg11Si14,Alva 2018 (Latent),,latent_thermal,1,,1.9509444,1.9509444,Element
Mg12Zn13,Alva 2018 (Latent),,latent_thermal,1,,2.4912388,2.4912388,Element
Mg23Zn27,Alva 2018 (Latent),,latent_thermal,1,,2.4946823,2.4946823,Element
Mg47Si38Zn15,Alva 2018 (Latent),,latent_thermal,1,,2.1832961,2.1832961,Element
MgO2,Andre 2016,,thermochemical,1,,1.0890235,1.0890235,Element
MgO4S,"Alva 2018 (Latent), Andre 2016",,"latent_thermal, thermochemical",2,13.7,0.5750346,13.7,Ref(s)
Mischmetal,USGS,,,1,5.8,,5.8,Ref(s)
Mn,USGS,,,1,0.0062942,1.82,0.0062942,Ref(s)
Mn2O3,Andre 2016,,thermochemical,1,,1.3134982,1.3134982,Element
Mn3O4,Andre 2016,,thermochemical,1,,1.3540358,1.3540358,Element
MnO2,Li 2017,,,1,1.52,1.2068059,1.52,Ref(s)
MnO4S,Andre 2016,,thermochemical,1,,0.7471247,0.7471247,Element
Mo,"USGS, ISE",,,2,34.5666667,40.1,34.5666667,Ref(s)
MoNa2O4,ISE,,,1,12.485,19.4021054,12.485,Ref(s)
MoO3,ISE,,,1,25.6673744,26.7805966,25.6673744,Ref(s)
MoS2,"ISE, Li 2017",,,2,28.185,24.0740458,28.185,Ref(s)
NH4Cl,Li 2017,,,1,0.14,0.1957853,0.14,Ref(s)
NNaO3,Alva 2018 (Latent),,latent_thermal,1,6.0,0.9215008,6.0,Ref(s)
NV,ISE,,,1,27.0755,291.0191533,27.0755,Ref(s)
Na,"Alva 2018 (Sensible), Li 2017, Kim 2013",Sodium,sensible_thermal,3,2.4931212,3.0,2.4931212,Ref(s)
Na0.44MnO2,Li 2017,,,1,5.0,1.3937071,5.0,Ref(s)
Na0.67Mn0.67Ni0.33O2,Li 2017,,,1,15.0,3.7397275,15.0,Ref(s)
Na2CO3,Liu 2016,Sodium Carbonate,,1,0.23,1.385026,0.23,Ref(s)
Na2O4S,Alva 2018 (Latent),,latent_thermal,1,3.4,1.0614439,3.4,Ref(s)
Na2O4W,ISE,,,1,14.9535,22.5901803,14.9535,Ref(s)
Na2S,Li 2017,,,1,0.72,1.8055895,0.72,Ref(s)
Na2SO4,Li 2017,,,1,0.07,1.0614439,0.07,Ref(s)
Na2Zn(OH)4,Li 2017,,,1,0.68,1.7845023,0.68,Ref(s)
NaBr,Li 2017,,,1,1.51,4.0794294,1.51,Ref(s)
NaCl,Li 2017,,,1,0.04,1.2299194,0.04,Ref(s)
NaK,Alva 2018 (Sensible),Sodium Potassium Alloy,sensible_thermal,1,2.0,9.2027739,2.0,Ref(s)
NaOH,Li 2017,,,1,0.34,1.8210039,0.34,Ref(s)
NaTi2(PO4)3,Li 2017,,,1,10.0,3.5672532,10.0,Ref(s)
Nb,USGS,,,1,21.0,73.5,21.0,Ref(s)
Nb2O5,ISE,,,1,35.4726443,51.426477,35.4726443,Ref(s)
Nd2O3,USGS,,,1,48.6,49.3199365,48.6,Ref(s)
