index,specific_price,source,original_name,material_name,molecular_formula,specific_energy,energy_type,price_type
LaNi5,10.05,Li 2017,LaNi5,,LaNi5,,,Ref(s)
LiCoO2,40.0,Li 2017,LCO,,LiCoO2,,,Ref(s)
LiFePO4,10.0,Li 2017,LFP,,LiFePO4,,,Ref(s)
Li2S,1.87,Li 2017,Li2S,,Li2S,,,Ref(s)
Li2SO4,0.85,Li 2017,Li2SO4,,Li2SO4,,,Ref(s)
LiOH(H2O),1.52,Li 2017,LiOH H2O,,LiOH(H2O),,,Ref(s)
Li,70.7274681,Li 2017,Lithium metal,Lithium,Li,,,Ref(s)
LiMn2O4,10.0,Li 2017,LMO,,LiMn2O4,,,Ref(s)
LiMnPO4,10.0,Li 2017,LMP,,LiMnPO4,,,Ref(s)
LiMn1.5Ni0.5O4,20.0,Li 2017,LNMO,,LiMn1.5Ni0.5O4,,,Ref(s)
(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,20.0,Li 2017,LRMO LMNO,,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,,,Ref(s)
Li4Ti5O12,12.0,Li 2017,LTO,,Li4Ti5O12,,,Ref(s)
Mg,47.6282911,Li 2017,Mg,,Mg,,,Ref(s)
MnO2,1.52,Li 2017,MnO2,,MnO2,,,Ref(s)
MoS2,28.185,Li 2017,MoS2,,MoS2,,,Ref(s)
Na,2.4931212,Li 2017,Na,,Na,,,Ref(s)
Na2S,0.72,Li 2017,Na2S,,Na2S,,,Ref(s)
Na2SO4,0.07,Li 2017,Na2SO4,,Na2SO4,,,Ref(s)
Na2Zn(OH)4,0.68,Li 2017,Na2Zn(OH)4,,Na2Zn(OH)4,,,Ref(s)
NaBr,1.51,Li 2017,NaBr,,NaBr,,,Ref(s)
NaCl,0.04,Li 2017,NaCl,,NaCl,,,Ref(s)
NaOH,0.34,Li 2017,NaOH,,NaOH,,,Ref(s)
LiNi0.8Co0.15Al0.05O2,34.0,Li 2017,NCA,,LiNi0.8Co0.15Al0.05O2,,,Ref(s)
LiNi0.33Co0.33Mn0.33O2,20.0,Li 2017,NCM111,,LiNi0.33Co0.33Mn0.33O2,,,Ref(s)
