SM_name,SM_type,specific_energy,mu_total,specific_price,price_sources,SM_sources,C_kwh
"HITEC XL, NaNO3e KNO3eCa(NO3)2",sensible_thermal,0.20097222222220001,,,,Alva 2018,
"HITEC, NaNO3eKNO3e NaNO2",sensible_thermal,0.21680555555555,,,,Alva 2018,
Hitec,sensible_thermal,0.21666652777775,,,,Caraballo 2021,
Hitec XL,sensible_thermal,0.2141636111111,,,,Caraballo 2021,
Iron Ore,sensible_thermal,0.125,159.687,0.122,"Alibaba (Bulk), Olympios 2021, USGS",Grosu 2017,0.976
KBF,sensible_thermal,0.18130555555555,,,missing,Caraballo 2021,
KMgCl,sensible_thermal,0.13875,169.7533,5.960651005694316,"0 : Alok 2021, Alva 2018, USGS, 1 : Alok 2021, Alva 2018",Caraballo 2021,42.959646887886954
KMgZnCl,sensible_thermal,0.1203333333333,306.0333,2.571913140504447,"0 : Alok 2021, Alva 2018, USGS, 1 : Alok 2021, Alva 2018, 2 : Alibaba (Bulk), Alva 2018",Caraballo 2021,21.37323939477972
KZrF,sensible_thermal,0.13888888888884998,,,missing,Caraballo 2021,
Lead(44.5%)ebismuth(55.5%) eutectic (LBE),sensible_thermal,0.019444444444444445,416.18039999999996,3.8293419727108224,"0 : Alibaba (Bulk), Kim 2013, Li 2017, SMM, USGS, 1 : Alibaba (Bulk), ISE, Kim 2013, USGS",Alva 2018,196.93758716798516
